Timeline,"""Abstract from facility WITHOUT CoC accreditation","""Abstract from facility WITHOUT CoC accreditation_lower_0.95","""Abstract from facility WITHOUT CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.7953216374269005,0.7267392813251928,0.8484808796964484
2,0.7175834322648725,0.6433578994392134,0.7790276222939193
3,0.6540804736573617,0.5765213369404242,0.720915594836836
4,0.6404537971228332,0.5622188885312638,0.7083840275667628
5,0.6103147949052883,0.5302990388517625,0.6808711585123458
6,0.5777646725103398,0.495873143118389,0.6511285409886274
7,0.5522750546054715,0.46911873646795565,0.627693556650596
8,0.5344597302633594,0.4504688030439399,0.6112893930164277
9,0.5063302707758142,0.42111517700761625,0.5853469865734181
10,0.4957817234679845,0.40994869283223623,0.575772067860574
11,0.4957817234679845,0.40994869283223623,0.575772067860574
12,0.4957817234679845,0.40994869283223623,0.575772067860574
13,0.4682382943864299,0.37927667957802025,0.5521899785161255
14,0.4682382943864299,0.37927667957802025,0.5521899785161255
15,0.4682382943864299,0.37927667957802025,0.5521899785161255
16,0.4515154981583432,0.36007490424686905,0.5384915326929057
17,0.4515154981583432,0.36007490424686905,0.5384915326929057
18,0.4515154981583432,0.36007490424686905,0.5384915326929057
19,0.4515154981583432,0.36007490424686905,0.5384915326929057
20,0.4515154981583432,0.36007490424686905,0.5384915326929057
21,0.4515154981583432,0.36007490424686905,0.5384915326929057
