ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9562728722905134,0.9534417729673575,0.9589355484636364
0.9312990538455886,0.9277945508325955,0.934639516441476
0.9133240325784096,0.9094087671951906,0.9170778988933823
0.9002963777234392,0.8961027898132371,0.9043298733924259
0.8894264812037522,0.8850078309717718,0.8936857142030783
0.8805576404020132,0.8759561519215274,0.8849998470403427
0.871750190072391,0.8669659131178211,0.8763749254675968
0.8636563146394513,0.8587010896394827,0.8684513623960194
0.8577998216561935,0.8527170962551288,0.8627215809996609
0.8519773087623712,0.846761648231522,0.8570307888302143
0.8459814627473049,0.8406224897180846,0.851176588511988
0.8387694186421252,0.8332308698751224,0.8441416782240883
0.8335661344073724,0.8278896652824511,0.8390740709493372
0.8287842952376969,0.8229740044919949,0.8344236000382433
0.8249835579787158,0.819057460157082,0.8307361946111451
0.8213706731733129,0.815322405938529,0.8272424542409395
0.8186079060250678,0.8124564989782661,0.8245799745312645
0.8157572690917249,0.8094836396221865,0.8218477279217504
0.8130602536550097,0.8066559328861362,0.8192769278309301
0.8115975392433971,0.8051106503540796,0.8178936832292516
0.8108439667835619,0.8043053000802808,0.8171897559855145
0.8057342765635787,0.7987569000985189,0.8124990311012139
0.8027689033059839,0.7954661525229899,0.8098430789456685
