ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9679911699779254,0.9606549387861198,0.973978057755969
0.9489061705698429,0.9398728424082872,0.9566138136389656
0.9285124854880636,0.91797247624648,0.9377444126679949
0.9120300153314711,0.9003998933683184,0.9223611967233377
0.9013785698969435,0.8890808400441463,0.9123807407736212
0.8883151123622052,0.8752224384255394,0.9001133768081716
0.8780370862687583,0.864334819139504,0.8904443599900462
0.8733941169524133,0.8594120585395192,0.88607912792184
0.8668313558982935,0.852438898031312,0.879920464871054
0.8609783420164686,0.846203213595235,0.874441090104541
0.8502946691593294,0.83479854104163,0.8644573830785728
0.8462775289900728,0.8305022683126366,0.8607100037872825
0.8418774725135207,0.8257681538480456,0.8566291395505091
0.8363179042988087,0.8197583783061493,0.8514966157983572
0.8293267410444823,0.8121586563617421,0.8450785279444215
0.8235137031399654,0.8057981250437929,0.8397773976951869
0.8202800105883687,0.8022289580013949,0.836854755505003
0.819019979850138,0.8008133576766424,0.8357369298069411
0.8118856594681678,0.7926985597105479,0.8294922885355767
0.8102520867126988,0.7908125045328493,0.8280861057665881
0.8063472573791443,0.7861871588795922,0.8248232701917113
0.8038585312761224,0.7831155361548868,0.8228473749499107
0.8038585312761224,0.7831155361548868,0.8228473749499107
