ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9661769491840617,0.9644256121455809,0.9678435117532977
0.942611065796528,0.9403506732518012,0.9447883378879058
0.9258588297711607,0.9232974813580302,0.9283380037246498
0.9128181889578056,0.9100403199227048,0.9155143162700237
0.9022157653028753,0.899268541718169,0.9050813798829279
0.8931589787601241,0.8900688740446131,0.8961673754733951
0.8841021549606741,0.8808696272999768,0.8872526884644708
0.8768290107536051,0.87348034519718,0.8800952503299477
0.8699003506138014,0.8664382272346145,0.8732794326515584
0.861735821382351,0.8581362463039611,0.8652513965060203
0.8552145773286465,0.8515016005365698,0.8588425957460775
0.8481633381751714,0.844321795400546,0.851918608510621
0.8418578197862783,0.8378955445054617,0.8457323966577956
0.8345071330260785,0.8303983473939303,0.8385263247529081
0.8275692259194589,0.8233136889553934,0.8317330445159135
0.8211813639388167,0.8167801202044975,0.8254885176088796
0.8138481636432521,0.8092679306352627,0.8183311416625536
0.8059066623812593,0.8011137258161003,0.8105981988645848
0.7994402756639777,0.794456814376319,0.8043183001557755
0.7944722366645122,0.7893210596193488,0.7995140221818925
0.7905955422938852,0.7852876116819214,0.7957899268849626
0.786345874835805,0.7808237922787035,0.7917480611303771
0.782162071298504,0.7763649699244172,0.787830197618196
