Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9617824773413899,0.9568800256775626,0.9661374553264039
2,0.9385935083998367,0.9324668915501444,0.9441810760605829
3,0.9172579893562897,0.9101849814382691,0.9237975565893453
4,0.905535266330697,0.8979775762892774,0.9125606898781794
5,0.8939087348118232,0.8858826512240027,0.901402191618554
6,0.8831656139626104,0.874710521616016,0.8910862107595753
7,0.8757064449257644,0.8669547594011484,0.8839216496659292
8,0.8689477123948217,0.8599220625659673,0.8774340153246137
9,0.8610677248957748,0.851715772500561,0.8698758082195521
10,0.8531162505222951,0.8434234448846197,0.8622590461959575
11,0.8470599234776064,0.8370968756697723,0.8564670200821679
12,0.8387350102247553,0.8283830982013671,0.84852091376036
13,0.8286376178686514,0.8177907506162755,0.8389039549292372
14,0.8198782350159172,0.8085919110142824,0.8305706207925371
15,0.814897666298531,0.8033448585124998,0.8258473457608951
16,0.8106177415805769,0.7988102814193836,0.8218116798677643
17,0.8039811050998005,0.7917441062302275,0.8155852201221058
18,0.7985597894888783,0.7859285906929199,0.8105381886274255
19,0.7930013686803712,0.7799185447114526,0.8054064599733144
20,0.7907842166710131,0.7774855592934417,0.8033916640413628
21,0.7872499855350529,0.773539802459001,0.8002406609022529
22,0.7860871347440115,0.7721964244333638,0.7992443929610377
23,0.7845054704889936,0.770276630976511,0.7979722046893346
24,0.7845054704889936,0.770276630976511,0.7979722046893346
