Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9669291338582674,0.9497273752832366,0.9783120242851894
2,0.9489016415320971,0.9285024365676002,0.9635946613333932
3,0.9454698091938257,0.9245047793693297,0.9607363791838419
4,0.9310626501965866,0.9078029582881537,0.9486204483085379
5,0.919661883051323,0.8946976110978115,0.9389101402266389
6,0.9155470647826366,0.8899439966710584,0.9354104231041731
7,0.9112487217554877,0.8849652766959845,0.9317588624775424
8,0.9112487217554877,0.8849652766959845,0.9317588624775424
9,0.9039392400301758,0.8763571915617611,0.9256300710760089
10,0.9039392400301758,0.8763571915617611,0.9256300710760089
11,0.9039392400301758,0.8763571915617611,0.9256300710760089
12,0.900811422590625,0.8724954157141307,0.9231168632397058
13,0.900811422590625,0.8724954157141307,0.9231168632397058
14,0.900811422590625,0.8724954157141307,0.9231168632397058
15,0.900811422590625,0.8724954157141307,0.9231168632397058
16,0.896284732024843,0.8663741679682692,0.9198108213776588
17,0.896284732024843,0.8663741679682692,0.9198108213776588
18,0.896284732024843,0.8663741679682692,0.9198108213776588
19,0.896284732024843,0.8663741679682692,0.9198108213776588
20,0.896284732024843,0.8663741679682692,0.9198108213776588
21,0.896284732024843,0.8663741679682692,0.9198108213776588
22,0.896284732024843,0.8663741679682692,0.9198108213776588
23,0.896284732024843,0.8663741679682692,0.9198108213776588
