Timeline,"""Abstract from facility WITHOUT CoC accreditation","""Abstract from facility WITHOUT CoC accreditation_lower_0.95","""Abstract from facility WITHOUT CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.9791501715492211,0.9740732828320918,0.9832414809393921
2,0.966492384212331,0.9601684710892852,0.9718270394995906
3,0.9539830837078875,0.9466116501438216,0.9603581289186003
4,0.9460490926590862,0.9380596048692582,0.9530339746751203
5,0.9359453287645421,0.9272016145412255,0.9436709564635829
6,0.9287705849641239,0.9195037624174903,0.937007415957319
7,0.9234848987082307,0.9138348760358467,0.9320946558336329
8,0.919890018047169,0.9099735238602252,0.9287573330028833
9,0.9131011618254185,0.9026717520100123,0.9224614481515874
10,0.9062631601142949,0.8953081100718162,0.9161261261860398
11,0.8998879322563477,0.8884316295576067,0.910227966090292
12,0.8924683615545878,0.880413156767995,0.9033758289097567
13,0.8860644789863552,0.8734673772936252,0.8974820342227557
14,0.8797803337453167,0.8666346298905273,0.8917123711526854
15,0.874984023514618,0.8613973729683314,0.8873272149440079
16,0.8703748012660778,0.8563234714843351,0.8831471273478053
17,0.8644016408652322,0.8497034048716353,0.8777675078436766
18,0.860463592387486,0.8452851620556046,0.874265502390504
19,0.854883413448527,0.8389572312227153,0.8693593101386965
20,0.8535621098728721,0.8374285271257573,0.8682227353626683
21,0.8504240138806929,0.8337082239813082,0.8655973194151598
22,0.8504240138806929,0.8337082239813082,0.8655973194151598
23,0.8504240138806929,0.8337082239813082,0.8655973194151598
24,0.8504240138806929,0.8337082239813082,0.8655973194151598
