ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9803042551627842,0.9778271653219819,0.9825070916637737
0.9657116191456317,0.9624878514494513,0.968662867550911
0.9513823724680116,0.9475629967500198,0.9549302126962494
0.9409810839663342,0.936772181812916,0.944918113634563
0.9324347201887369,0.9279215707469144,0.9366750133650716
0.924703243487872,0.9199201635123242,0.9292117427925952
0.9170187289990536,0.9119699640970172,0.9217904951847712
0.9101371785597204,0.9048508147321883,0.9151437873600538
0.9037105951221178,0.8981997111586845,0.9089384837696385
0.8959794568379719,0.8901926560140349,0.9014784266680138
0.8890971110813217,0.8830600913550068,0.8948413282344921
0.8812143088832131,0.8748807830656128,0.8872482533291605
0.8743251419544853,0.8677239790508592,0.8806199612394692
0.8681985781716579,0.8613513818669256,0.8747326962334065
0.861987018434126,0.8548742153059182,0.8687785223208596
0.8550546779825651,0.8476226756437691,0.8621543117302877
0.8504458103651028,0.8427859374076895,0.8577646775217682
0.8439633738158528,0.8359494280101502,0.8516213976032951
0.8369303457007211,0.8285014785166595,0.8449846599699954
0.8319800479146363,0.8232192632427058,0.8403498419599804
0.8271662771456028,0.8180216758049353,0.8358986504005546
0.8226019016126109,0.813008274052517,0.8317556192085291
0.817912802824917,0.8077292117484582,0.8276161511444996
