Timeline,"""Abstract from facility WITHOUT CoC accreditation","""Abstract from facility WITHOUT CoC accreditation_lower_0.95","""Abstract from facility WITHOUT CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.8733031674208148,0.8217969044858746,0.9107273181884604
2,0.8310465625456135,0.774441174890642,0.8745952525323338
3,0.8161175823801234,0.7578179327174087,0.8616640353709387
4,0.8001152768432582,0.7399209061148647,0.8478126809610362
5,0.7676781710252887,0.7041190364029272,0.8193431732772023
6,0.7284537389291058,0.6614166410489493,0.7843991112804777
7,0.7221739653176481,0.6545084355932018,0.7788457425754809
8,0.7154871693424842,0.6470857615308205,0.7729785356763247
9,0.7086074850218836,0.6394387234317667,0.7669492500159771
10,0.6935307300214182,0.6224783063867678,0.7538833043938288
11,0.6781189360209425,0.6052651739188999,0.74044459404437
12,0.6695351520206774,0.5955267703173701,0.7330750402674268
13,0.6695351520206774,0.5955267703173701,0.7330750402674268
14,0.6399968364903531,0.5614930967405138,0.7081493832166872
15,0.6399968364903531,0.5614930967405138,0.7081493832166872
16,0.6399968364903531,0.5614930967405138,0.7081493832166872
17,0.6399968364903531,0.5614930967405138,0.7081493832166872
18,0.6399968364903531,0.5614930967405138,0.7081493832166872
19,0.6399968364903531,0.5614930967405138,0.7081493832166872
20,0.6399968364903531,0.5614930967405138,0.7081493832166872
21,0.6399968364903531,0.5614930967405138,0.7081493832166872
22,0.6399968364903531,0.5614930967405138,0.7081493832166872
23,0.6399968364903531,0.5614930967405138,0.7081493832166872
24,0.6399968364903531,0.5614930967405138,0.7081493832166872
