"""ANALYTIC abstract from facility WITH CoC accreditation","""ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95","""ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95"
1.0,1.0,1.0
0.9270833333333333,0.890356839887903,0.9518387553851627
0.90080971659919,0.8595061285916731,0.930459956199011
0.8811413821756263,0.8367710235186403,0.914068505352801
0.8645941261723278,0.8177736105787178,0.9001186687525268
0.8516252142797431,0.8029457008923678,0.889109500226771
0.8469968163760491,0.7976157821257853,0.8851964228298096
0.8372049456664994,0.7862771962281544,0.876947697974263
0.8214086259369429,0.7679234763571625,0.8636637745196071
0.8157825394579226,0.7613584461696111,0.8589471927919111
0.8039596041034599,0.7475318355163115,0.849052681848802
0.7974233471595299,0.7397769053272873,0.8436534659616004
0.7906655221836015,0.7317568512655702,0.8380738522484059
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
0.7758867273764315,0.714051409628819,0.8259865018828009
