Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9619482496194832,0.9442024978986335,0.9741273526281782
2,0.9539982640854374,0.934855007849794,0.9676134738882887
3,0.9255955136660811,0.9021564523943829,0.9435953223559848
4,0.9080984340126578,0.8824197711099185,0.9283972343334549
5,0.8989809798559041,0.8721969396511556,0.9204088851458995
6,0.8893559158317506,0.8614003736887503,0.9119623257706165
7,0.8791568800997348,0.8499528280023809,0.9030030709348194
8,0.870409050447001,0.8401043993851837,0.8953302949412136
9,0.8450124999034542,0.8116795061951663,0.8729116651056307
10,0.8376001095534239,0.8033999078536213,0.8663507135987478
11,0.8321611478030773,0.7972588746006801,0.861582015660937
12,0.8232451355051875,0.7871015089767325,0.8538289181465738
13,0.8102806451822708,0.7722574105445852,0.8426106251747306
14,0.7996656148960403,0.7600470713104607,0.8334689953645577
15,0.7882959616036793,0.7469434825822056,0.8236998719159662
16,0.7839883333981942,0.7418908723182533,0.8200645538893805
17,0.7745992515610896,0.7307679539753065,0.8122255104658508
18,0.7633731754515085,0.7171069607126375,0.8031276561769931
19,0.7633731754515085,0.7171069607126375,0.8031276561769931
20,0.7633731754515085,0.7171069607126375,0.8031276561769931
21,0.7633731754515085,0.7171069607126375,0.8031276561769931
22,0.7523097960971388,0.7010010114188105,0.7961128039769462
23,0.7523097960971388,0.7010010114188105,0.7961128039769462
24,0.7523097960971388,0.7010010114188105,0.7961128039769462
