ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
1.0,1.0,1.0
0.8958497356877742,0.8893154193425622,0.9020198592128079
0.8273786328948906,0.8192920355133724,0.8351407404362046
0.7799369192327836,0.7710340208407959,0.7885428110063866
0.7431076303757512,0.7336524138308125,0.7522863002779259
0.7108102082222069,0.7009209256578767,0.7204409577821014
0.6842642568622989,0.6740361222994311,0.6942482957422503
0.6604572509889719,0.6499318070504244,0.6707512805224891
0.6385209169656825,0.6277275957062229,0.649094557403082
0.6177123509463018,0.606663124282381,0.6285529719603605
0.5997471562507426,0.5884635734898335,0.6108313885968967
0.5831903169258608,0.5716794590345814,0.594510276605545
0.5685575417011756,0.5568264823942557,0.5801049193978175
0.5520176859425957,0.5400190359235023,0.5638408287882472
0.538775147052813,0.5265534817127753,0.5508281554637467
0.5269161643262882,0.5144693905295237,0.5392002414299015
0.5131835050860563,0.5004418910841845,0.525769219970223
0.5036374360369891,0.4906661872830204,0.5164575068236433
0.49644261552217495,0.48325779965809373,0.5094792765416025
0.48594515052434917,0.47238392939713875,0.4993619921215311
0.4768714858880023,0.4629280138496132,0.49067357725637023
0.4706863823096887,0.4564039436361915,0.4848285274084783
0.465915912218712,0.4512739905451644,0.4804169182935914
0.4637786832635804,0.44890511299849395,0.4785098694458697
