ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9589267969526335,0.9536109196555768,0.9636451722141354
0.9282730055383986,0.9214011728716256,0.9345655603623179
0.910577857796176,0.9029630089229747,0.917622713664367
0.8934042650377401,0.8851271641523429,0.9011187517571589
0.8791066195425823,0.8703050842460898,0.8873501496450715
0.8683652593133845,0.8591735053168207,0.8770007979117291
0.8561441515185436,0.8465113987855957,0.8652214703808285
0.8471669225567036,0.837206295756248,0.8565714480147054
0.8380955337369403,0.8277943249742828,0.8478384907489878
0.827032456826697,0.8163050031243413,0.8371974945833262
0.8186435301922187,0.8075829087924766,0.8291374115885785
0.8099080047176066,0.798484175543391,0.8207589569903938
0.8028183556558848,0.791083415653573,0.813973916861799
0.7934117413039006,0.7812485348808363,0.8049856634865765
0.7863100946885498,0.7738035097331417,0.7982182425532784
0.7779916694106637,0.7650473019815507,0.7903238957122526
0.7654200203089374,0.7517763450406019,0.7784282278015895
0.7528989246708824,0.7385119087783636,0.7666241712651983
0.744908976898865,0.7300056439142364,0.759130695858679
0.7383619253440897,0.7229602644767554,0.7530594591173302
0.7357528726043575,0.7201112619035415,0.7506778148356469
0.7302125648287224,0.7139132458328746,0.7457554424696646
0.7271444448084337,0.7103363311660539,0.7431609072150449
