"""Abstract from facility WITHOUT CoC accreditation","""Abstract from facility WITHOUT CoC accreditation_lower_0.95","""Abstract from facility WITHOUT CoC accreditation_upper_0.95"
1.0,1.0,1.0
0.973856209150327,0.9318471295737962,0.9901067717414845
0.9605157131345693,0.9142198363843087,0.982067289965797
0.9052342332419321,0.8451639595776722,0.9427782308401683
0.8769456634531222,0.8117053902877978,0.9206728081095821
0.8695139205425023,0.8029476192552529,0.9147728862306387
0.8464294801741175,0.7759073638067036,0.8962264195165502
0.8306083683951621,0.7575912532004893,0.8833085648981145
0.8056901173433068,0.7288990746953593,0.86275935562691
0.7879826422368605,0.7085452101104261,0.8480717653231353
0.769657464510422,0.687627136822344,0.832747556988928
0.769657464510422,0.687627136822344,0.832747556988928
0.759395364983617,0.6756898948018836,0.8242864103546776
0.7477123593684845,0.661732776216363,0.8148746462381438
0.7477123593684845,0.661732776216363,0.8148746462381438
0.7336045790030413,0.6441290489605284,0.8039825481696298
0.7336045790030413,0.6441290489605284,0.8039825481696298
0.717302255025196,0.6232671958545298,0.7917555226923405
0.717302255025196,0.6232671958545298,0.7917555226923405
0.717302255025196,0.6232671958545298,0.7917555226923405
0.6907355048390776,0.5838513802986182,0.7753760258203121
0.6593384364373013,0.5377769808598981,0.756027054286738
