Timeline,"""Abstract from facility WITHOUT CoC accreditation","""Abstract from facility WITHOUT CoC accreditation_lower_0.95","""Abstract from facility WITHOUT CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.8093385214007787,0.7797917710724573,0.835346701350465
2,0.707135363408189,0.6731476713821459,0.7382992676225181
3,0.6137130084863758,0.5773624534363383,0.6479396827953593
4,0.5456906306984768,0.5083674403620917,0.5814243187871982
5,0.5109935385731398,0.4733803155652799,0.5473005111923632
6,0.47449400010362985,0.4366722311779796,0.511315863229494
7,0.4546482434453031,0.416682599126414,0.4917830178001347
8,0.4378094196139958,0.3997389221012364,0.47519736223378634
9,0.4184373214009871,0.38027159549099876,0.4560980385749335
10,0.4103515760599053,0.37214171154635733,0.4481327528154334
11,0.4082579455698039,0.3700320966513697,0.44607503253541625
12,0.3923812476865339,0.3539443927614423,0.4305635021998599
13,0.38735071887003997,0.34880455403980093,0.42569271228581
14,0.37681056325452866,0.3380103279473166,0.41551646013271815
15,0.3683110768653287,0.3292633354521186,0.4073578563355215
16,0.3617922967438183,0.32244856838506825,0.40121055407471196
17,0.35476720360316166,0.31505370624345297,0.3946415641148902
18,0.35476720360316166,0.31505370624345297,0.3946415641148902
19,0.3409451047614801,0.2999417974181081,0.3823055393126632
20,0.335445990168553,0.2937767643160011,0.37756354334364434
21,0.335445990168553,0.2937767643160011,0.37756354334364434
22,0.335445990168553,0.2937767643160011,0.37756354334364434
23,0.335445990168553,0.2937767643160011,0.37756354334364434
24,0.335445990168553,0.2937767643160011,0.37756354334364434
