Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
1.0,1.0,1.0
0.8205689277899346,0.805688567779653,0.8344296553659178
0.704818282948058,0.6871592662882473,0.7216916036558917
0.605945182973936,0.5869529359318995,0.6243624903023641
0.5422272358983258,0.5227419552420834,0.5612787178417368
0.4999814191255243,0.48029971624544,0.5193262059766321
0.46748494805887014,0.4476823468857089,0.4870268577555426
0.4364179103714137,0.4165229257517876,0.4561279433425317
0.412113765241771,0.3921475989176349,0.4319570029862435
0.3953611731587722,0.3753454241668639,0.41529878842498685
0.37716970813612916,0.3570675019737081,0.39724480686848695
0.36739847217405325,0.3472326202993049,0.3875660482376268
0.346790047235857,0.326443052983481,0.3672041353219392
0.33663628459156375,0.31617105527279804,0.35720379641553895
0.3274704451596151,0.3068794004603438,0.3481977212470247
0.31649378219337115,0.29570643304299915,0.3374616674432524
0.30132634854193174,0.280212552061161,0.3226896928290528
0.28812957415323387,0.2667101900816021,0.3098668787814841
0.28412777451221677,0.26255143473546394,0.3060464734881319
0.2703796563906577,0.24813057457908702,0.2930691310844033
0.2686124690939868,0.24625299390399444,0.29142715141275377
0.26405971538052925,0.24124481041996138,0.2873772566101447
0.260916147340285,0.23759191604429175,0.2847871185794479
0.2567078223831836,0.23240912096045535,0.2816321187320058
