Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9312890403180019,0.9224279723369269,0.939171523710435
0.9001762680105578,0.8897032358378355,0.9097059132948644
0.8780228832518923,0.8665603158477347,0.8885650865922092
0.8612138866130611,0.849041946476917,0.8724794161669742
0.8494259348639286,0.8367669702019979,0.8611862283368693
0.8356141310450028,0.8223922642899527,0.8479447178589496
0.8243273076633982,0.810635806180974,0.8371307156575242
0.8132266406774068,0.799068731640793,0.8264980698264419
0.8053269755224184,0.7908248644462457,0.8189418835101051
0.7967444500283961,0.7818419195692294,0.8107557112634604
0.7916436532932593,0.7764901448642294,0.805901978752223
0.7839896400708107,0.7684375777296836,0.7986382648935946
0.7792632518865107,0.7634477050933313,0.7941684329348224
0.7760980883938765,0.7600934202636662,0.7911864141825237
0.7726518269001202,0.7564211201173515,0.7879575430557617
0.7703681269191349,0.7539698342234217,0.7858337948581021
0.7677742948419665,0.7511555229354978,0.7834485193093138
0.7648512962575424,0.7479500747269616,0.7807908871646492
0.7636906721357557,0.7466527578330413,0.7797574885199096
0.7610110557422969,0.7436057825436626,0.7774176616018721
0.7577932500097715,0.7398594511716774,0.7746854676457745
0.7558300550615599,0.7375039773014801,0.7730803594966127
0.7558300550615599,0.7375039773014801,0.7730803594966127
