ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9557408595253369,0.9442954606449878,0.9648784337892602
0.9189301121346553,0.904083881450411,0.9315659178539035
0.9064465332528259,0.8906423957272646,0.9200699981321364
0.8910457426393071,0.8740980493826861,0.9058362215889656
0.8825152786105583,0.8649419992618288,0.897938405200104
0.8751336452392805,0.8570082967949101,0.8911092072385379
0.8708226420607615,0.8523661327170842,0.88712653506241
0.8644860947692592,0.8455290445219366,0.8812822467836006
0.8615786303249678,0.8423776938375779,0.8786114778094032
0.8564194768499681,0.8367616623488262,0.8738910313183679
0.8431072570025593,0.8222409995159473,0.8617334549685134
0.8371362424345525,0.8157140097619369,0.8562913904132613
0.8255272652667386,0.8029846898334645,0.8457428894327027
0.8172443830065373,0.7938899220245401,0.8382274781110373
0.8064911674406616,0.7820045432822058,0.8285351900438812
0.7980017867307599,0.7725659537924768,0.8209298774938043
0.7924729059912857,0.766383886019062,0.8160061200787453
0.788334666273316,0.7616971877054384,0.8123698313118733
0.7836974035305316,0.7563733985507936,0.8083542804034496
0.7754479571775786,0.7466944869084539,0.8013821676320614
0.7584425195201755,0.7262963122121063,0.7873798483768049
0.7541575335341857,0.7209844495815453,0.783992466912735
0.742984829333679,0.7064422717327214,0.7757189959202435
