Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.984177215189873,0.9791762250623028,0.9879845501913954
2,0.9692905010105305,0.962576561792308,0.9748157157910787
3,0.9485496201044561,0.9400333526953989,0.9558849424570883
4,0.9340180288351423,0.924436322958951,0.9424228258621163
5,0.9199526372735222,0.9094309922365573,0.9292998654737551
6,0.9046803785507638,0.8932012551261526,0.9149850203459636
7,0.8919563225936507,0.8797166734034406,0.903020004996781
8,0.8785232454461555,0.8655053956788472,0.8903620392624075
9,0.8652410365517207,0.8514709805786079,0.8778275628091491
10,0.8571969595123092,0.8429704579055931,0.8702355218981245
11,0.8436850276158356,0.8286751443986161,0.8574951753669283
12,0.8325839088314173,0.8169174445933515,0.8470379703072151
13,0.8242129955949065,0.8080181671535541,0.8391807141420284
14,0.8172751757666662,0.8006214053326136,0.8326866714834006
15,0.8096299449362953,0.7924293385068553,0.8255659657470231
16,0.8020158702190257,0.7842263248703718,0.8185128512955907
17,0.797309204313985,0.7791196918767443,0.814184172471264
18,0.7919073804365189,0.7731911596668767,0.80927482583224
19,0.7855721213930272,0.76613789173928,0.8036041524320087
20,0.7825680215024227,0.762731144862488,0.8009689653631437
21,0.7807395915456417,0.7605998277677248,0.7994148697675286
22,0.7783520086968783,0.7576869421401127,0.7974969790614973
23,0.7783520086968783,0.7576869421401127,0.7974969790614973
24,0.7783520086968783,0.7576869421401127,0.7974969790614973
