Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
1.0,1.0,1.0
0.903500860867427,0.8997274904243479,0.9071396714791952
0.8383244543177675,0.8335795017650371,0.842947202808113
0.7880085349869861,0.7826905960090288,0.7932141504557646
0.7530169514947098,0.7473549260984009,0.7585734721013861
0.7278605961406731,0.7219678100764275,0.7336526499599508
0.7073589925626064,0.7012817717265122,0.7133391932001095
0.6902620140121087,0.684029356882078,0.6964005719504761
0.6739907774324627,0.667608127076751,0.6802820010050149
0.6598999315676771,0.653383119210431,0.6663275133847703
0.6468918916149983,0.6402432642084296,0.6534531371656239
0.6368396410140346,0.6300817252045052,0.6435114576699009
0.6255787444272553,0.6186877958530981,0.6323848389907809
0.6162339996972217,0.6092227369776675,0.6231612806002857
0.6072705960652619,0.60013417792955,0.6143237251352628
0.5993057219282022,0.5920457663417389,0.6064828067149681
0.5909757776339326,0.5835710102920919,0.5982978666091936
0.58277468399982,0.5752109927105521,0.5902556532467832
0.5755624760687383,0.5678356955058727,0.5832061156535897
0.5680259335412232,0.5600967839983241,0.5758709747796386
0.5641995547366342,0.5561468412355954,0.5721672994362357
0.5588571958404039,0.5505871880775085,0.5670401875638679
0.5552843208536777,0.5468210890119263,0.5636582312457472
0.5512923415520699,0.5425315826216479,0.5599595446015153
