Timeline,"""Abstract from facility WITHOUT CoC accreditation","""Abstract from facility WITHOUT CoC accreditation_lower_0.95","""Abstract from facility WITHOUT CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.871794871794872,0.7190268182182272,0.9445301541209724
2,0.8205128205128206,0.6600350784311257,0.910104061416004
3,0.7692307692307694,0.6033921356104532,0.8726190180554413
4,0.7692307692307694,0.6033921356104532,0.8726190180554413
5,0.7692307692307694,0.6033921356104532,0.8726190180554413
6,0.7396449704142012,0.5694453549744111,0.8508452748732543
7,0.7396449704142012,0.5694453549744111,0.8508452748732543
8,0.7044237813468581,0.5271836941251365,0.8255090996110058
9,0.7044237813468581,0.5271836941251365,0.8255090996110058
10,0.7044237813468581,0.5271836941251365,0.8255090996110058
11,0.7044237813468581,0.5271836941251365,0.8255090996110058
12,0.7044237813468581,0.5271836941251365,0.8255090996110058
13,0.7044237813468581,0.5271836941251365,0.8255090996110058
14,0.7044237813468581,0.5271836941251365,0.8255090996110058
15,0.7044237813468581,0.5271836941251365,0.8255090996110058
16,0.7044237813468581,0.5271836941251365,0.8255090996110058
17,0.640385255769871,0.43208698215202684,0.78921511477711
18,0.5692313384621074,0.3409403002645964,0.7444883703070815
