Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9942507186601668,0.9933599610207994,0.9950222811967026
0.9911115991116759,0.9900122744798739,0.9920904075765288
0.9872090458407891,0.9858897400685822,0.9884057232792991
0.9843202524076982,0.9828533220897476,0.9856626012026962
0.9816591054252882,0.9800627343747028,0.9831287582178624
0.979405747911606,0.977702074492139,0.9809805215553024
0.9767199917473134,0.9748901939784741,0.9784179291755402
0.9741054276857749,0.9721547559569963,0.975921145071521
0.9714624501058466,0.969389722112531,0.9733967596418118
0.969045109193364,0.966859684682048,0.9710885804154615
0.9664606956353948,0.9641533915400394,0.9686219152668241
0.9640292733784733,0.9616046448777481,0.9663034847618207
0.9621132220864795,0.9595932800768062,0.9644789330244757
0.9600565456818474,0.9574310268292429,0.9625233174472033
0.9575697430124991,0.9548099268167767,0.9601645500313895
0.9553130978993517,0.9524241548890976,0.958030504782072
0.9527391211151739,0.9496957623519081,0.955602691255977
0.9508661084262199,0.9477007375099157,0.9538445946132191
0.9492029243285219,0.9459178386645473,0.9522935327702562
0.947135244417843,0.9436838352598684,0.9503807309015886
0.9454820148063601,0.9418771958487374,0.9488693740427852
0.9448622975145926,0.941187094245635,0.9483141918850628
0.9432318190029197,0.9393202187446421,0.9468984481008638
