ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9859154929577459,0.9739815201666205,0.9923969802826778
0.9684398859924683,0.9524574077816996,0.9791083119326947
0.9578143700019551,0.9398438591698604,0.9705006682008638
0.9465837157473252,0.9266750512869915,0.9612000303857193
0.9313978807353361,0.9091080101929921,0.9483768181934125
0.9206509821114672,0.8967724253496929,0.9391935447646066
0.909423531110108,0.8839643829384799,0.9295200303152388
0.899516956697144,0.872687643247781,0.9209493678773003
0.89532340445147,0.8679038038876052,0.9173236137991302
0.8863477312238862,0.8576177022969401,0.9095876349938994
0.8693492815839761,0.8381503186831213,0.8949135761130655
0.8616331637000944,0.829340240240947,0.88823014171772
0.8558889426087607,0.8226946962330854,0.8833127386987426
0.8558889426087607,0.8226946962330854,0.8833127386987426
0.8318278076759847,0.7944012176919784,0.8630341054097419
0.8280976381348366,0.7900192178566037,0.8598889453560247
0.8280976381348366,0.7900192178566037,0.8598889453560247
0.8232831169828905,0.7840612675125027,0.8560412442532203
0.8122323368891602,0.7701158472749061,0.8474047448096067
0.8122323368891602,0.7701158472749061,0.8474047448096067
0.8122323368891602,0.7701158472749061,0.8474047448096067
0.8122323368891602,0.7701158472749061,0.8474047448096067
0.8122323368891602,0.7701158472749061,0.8474047448096067
