Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9770114942528738,0.9399137678427494,0.9913094600643463
0.9528877536540379,0.907971033866131,0.9761661555610223
0.9402667238043156,0.8917510312304552,0.9674306114865519
0.9143283314235072,0.859470485153507,0.9484067463050367
0.9074016016399957,0.8508960471995324,0.9431997562930022
0.8845259310104157,0.8223859409455992,0.9258939522075779
0.8845259310104157,0.8223859409455992,0.9258939522075779
0.8754071069793804,0.8106230026652372,0.9191219615790029
0.8754071069793804,0.8106230026652372,0.9191219615790029
0.8555114909116665,0.7849669554768322,0.9043067633260586
0.8446822315330378,0.771020733096951,0.8962225518718773
0.8332676067825908,0.7563720661269722,0.8876726324517669
0.820041136833661,0.7388838964942551,0.8780287395209458
0.820041136833661,0.7388838964942551,0.8780287395209458
0.820041136833661,0.7388838964942551,0.8780287395209458
0.820041136833661,0.7388838964942551,0.8780287395209458
0.820041136833661,0.7388838964942551,0.8780287395209458
0.8022141555981465,0.7132688654273991,0.8661182612360602
0.7630817577640903,0.6592174233641871,0.839078417051477
0.7630817577640903,0.6592174233641871,0.839078417051477
0.7630817577640903,0.6592174233641871,0.839078417051477
