Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9711177052423345,0.9661182892667431,0.975388851268114
0.9511908193456357,0.9447855322820743,0.9568700926446349
0.9306293636642923,0.9230417591245347,0.9374944100830347
0.9169332197686996,0.9086393366160785,0.924505762638761
0.905542744988964,0.8966919034473325,0.9136722287944014
0.8958535947389387,0.8865369637949879,0.9044469954888158
0.8875560930896127,0.8778414686661571,0.8965443496276383
0.8811117914236152,0.8710830617944356,0.8904102015013321
0.8746148294784272,0.8642630300921721,0.8842309118208407
0.8689678670397133,0.8583225113249349,0.8788707750791239
0.8617863144195508,0.8507488337125875,0.8720700540690596
0.8571384781170635,0.8458342852058528,0.8676798718700622
0.8512619165628816,0.8395999229256276,0.8621470247439694
0.8476529630215444,0.8357595205292989,0.8587594228091805
0.8471624231123884,0.8352346186543903,0.8583015062043743
0.8450163498429463,0.8329226455929175,0.8563117607781111
0.8396943434408566,0.8271539693635089,0.8514083871687467
0.8363274856082951,0.8234705516859907,0.8483361758703988
0.8347744169256425,0.8217489610996271,0.8469386878797701
0.8311839893259626,0.8177112910563236,0.8437582437725245
0.8290417625493494,0.815253825247284,0.8419027598638559
0.8263674342830605,0.8120918541799221,0.8396680382913443
0.821255883143165,0.8058392282535498,0.8355762644224602
