Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9971478576521672,0.9961692694054446,0.9978767247726793
0.9942402971983059,0.9928692594873272,0.9953483412354526
0.9920757121488112,0.9904663434186293,0.9934143083711766
0.9896305699072356,0.9877802089682959,0.9912019919626133
0.9866363557002215,0.9845196213154683,0.9884653525946288
0.9847407140287018,0.9824645573841475,0.9867234174591634
0.982445726930558,0.979980880013421,0.984609477717534
0.9803108593534112,0.9776732574369698,0.9826396364400376
0.9777276950336397,0.9748849689048487,0.9802519246202488
0.9749670521300152,0.9719076944685019,0.9776970673957778
0.9731235495733596,0.9699188455333412,0.9759910776606489
0.9686650937472584,0.9651145687072545,0.9718595447939394
0.9668331696537606,0.9631407702517031,0.9701614316205759
0.9642565645614072,0.9603592923337596,0.9677771313392733
0.9620986483384243,0.9580221860230712,0.965786345439924
0.9591682127067055,0.9548366755088471,0.9630923866710517
0.9565353607714892,0.9519642205296552,0.9606805351530177
0.9549164663020986,0.9501832543583122,0.9592096679774105
0.9530382939884937,0.9480935301210865,0.9575226153394709
0.9514483068447014,0.946298084622093,0.9561161204272207
0.9487948653515095,0.9432555842722906,0.9538067314090669
0.9478446451558649,0.9421374019309807,0.9530030826028981
0.9472177637767941,0.9413660835003518,0.952500267692507
