Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
1.0,1.0,1.0
0.8924731182795699,0.8718415968122663,0.9099561585319124
0.8031206859429815,0.7768930603024977,0.8266162452155591
0.7256457284675034,0.6962481933828384,0.7527202967997924
0.6625460999051115,0.6311789617728216,0.6919259560541263
0.6193633932073851,0.5869143477709323,0.6500641354067912
0.5800803027291156,0.546775447737443,0.6118602047700219
0.5619091125231436,0.5282151624226455,0.5941819361597704
0.548423293822588,0.5144063448618283,0.5810942794164483
0.5278177943437046,0.4932888885204898,0.5611172268880449
0.5088439520633755,0.47379111426529563,0.5427758154118864
0.48999787976473175,0.45436298292757615,0.5246224657722612
0.4754640443479812,0.43930969116453794,0.5106956857353633
0.4579354159849219,0.42115474534065117,0.4939079891706663
0.44158057969974635,0.40420367603137175,0.4782660221277255
0.4261766059892904,0.3881648163827935,0.463615049205754
0.41765307386950457,0.3792235774515326,0.45557818907249914
0.4112276419638199,0.3723930670752378,0.4496108439684481
0.3885912580025088,0.3479848749859587,0.42895727016970187
0.3797596385024515,0.3383253949591486,0.421050615499076
0.3797596385024515,0.3383253949591486,0.421050615499076
0.3797596385024515,0.3383253949591486,0.421050615499076
0.3718479793669836,0.32853513908118104,0.41511194359020964
0.36091127409148405,0.3139938087880163,0.40795201027279765
