ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9785530454675432,0.9731796137464491,0.9828594073242993
0.9597347176700894,0.9525955541262181,0.9658180689210549
0.9441191186191609,0.9358015871206189,0.9513871724968458
0.9281557518792232,0.9187832958758976,0.9364842884504037
0.9158260075738164,0.9056992194871347,0.9249107985929534
0.9045911020594567,0.8937993543435406,0.9143393525611476
0.8911584806881871,0.8795948477005082,0.9016744224396896
0.8817217196127597,0.8696179517915864,0.8927721218409417
0.8690382226540443,0.8562097334877604,0.8808031532009502
0.8610996682289404,0.8478133531286941,0.8733142204276252
0.8485982212453616,0.8345800574348541,0.8615288952583188
0.8383611633382743,0.8237335645220047,0.8518862872542118
0.829622165805214,0.8144550485229145,0.8436710927804
0.8171184406235228,0.8011656082471648,0.8319288355745004
0.8074402188225672,0.7908441039044704,0.8228707054451637
0.7996237597826581,0.7824529638431609,0.8156032418135849
0.7961319529713802,0.7786763709758814,0.8123812002561712
0.7870159382427001,0.7687051204343454,0.8040671547322201
0.784673628902692,0.7661108686488366,0.8019590418356657
0.7819009305673469,0.7629794769841624,0.7995161050038282
0.7785807567645131,0.7591427461911973,0.7966663234075305
0.7724980946022905,0.7519281943327779,0.7916057847504305
0.7671520870271882,0.7453122897615638,0.7873942685323129
