Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
1.0,1.0,1.0
0.9696287964004496,0.956022256073672,0.9790715510808871
0.939181515354059,0.9211366901772219,0.9532025196145238
0.9075919689126544,0.886097801803373,0.9252020752397612
0.8910440087501513,0.8679717281502805,0.910294143059361
0.8804205332359912,0.8563743410889558,0.9006762265115359
0.8662658622836442,0.8409153431305244,0.8878487697027068
0.857289013969824,0.8311112695721022,0.8797060872582627
0.8413838374583241,0.8137358285983202,0.8652720757649971
0.8327807307358465,0.8043109304283654,0.8574807145047764
0.8237484017690805,0.7944063372965172,0.8493059980395853
0.8159588187736283,0.7858231741523316,0.8422865748963732
0.7993489700454123,0.7675073504376507,0.8273290388237348
0.7947681736554675,0.7624204026622706,0.8232316652510882
0.7899367561864373,0.7570307948263095,0.8189293219934777
0.7846351672187428,0.7510539223198814,0.8142576628164488
0.7817398344983786,0.7477532725091681,0.8117351523159153
0.778600317090755,0.7441335180583789,0.809032018990662
0.7750122971963276,0.7399062481168117,0.8060137885026232
0.7591146090487106,0.7210345593644458,0.7927596591050555
0.754248489759937,0.7150824669508494,0.788842763470114
0.7487829209935604,0.7082686628221875,0.7845452451612036
0.7279833954104056,0.6814245332192989,0.7689166392368688
0.7188836029677758,0.6691266112404402,0.7625141428082526
