Timeline,Abstract from facility WITHOUT CoC accreditation,Abstract from facility WITHOUT CoC accreditation_lower_0.95,Abstract from facility WITHOUT CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,0.9424476295479608,0.9374563022647691,0.947051952933887
2,0.9076295893830717,0.9013964128984866,0.9134878889255198
3,0.8806825896709188,0.87365265712236,0.8873470314711647
4,0.8596361451203745,0.8520416125887035,0.866871947708858
5,0.8457065364797262,0.8377523579327166,0.8533056980998026
6,0.8325699144080702,0.8242780926220524,0.8405092913131447
7,0.8237653717139586,0.8152442636084287,0.8319350887473829
8,0.8143080495525554,0.8055354108571833,0.8227297425356167
9,0.8054944437530698,0.7964810177024025,0.8141566754355164
10,0.7982694475924513,0.7890485803109087,0.8071380875447807
11,0.7905385043453429,0.7810845457680864,0.799638294161268
12,0.7843707301656235,0.7747203142043626,0.7936646894419782
13,0.7769775450801162,0.7670742687204123,0.7865204481471078
14,0.7692773200489523,0.759097266770478,0.7790921044447459
15,0.7617485661302631,0.7512819296891439,0.7718441988989886
16,0.7552505170977444,0.7445160203530271,0.7656078047832421
17,0.749728255252299,0.7387458463726618,0.760326931985052
18,0.7438966305152853,0.7326218737408353,0.7547788441471278
19,0.7383578812617351,0.7267581059919462,0.7495536908800075
20,0.7358667952925663,0.724094783338102,0.7472279819983195
21,0.7322238903653758,0.7201404812144582,0.743882407186522
22,0.7314340048310013,0.7192605659174407,0.7431779479677353
23,0.728202337652072,0.7155206984854543,0.7404257219576296
24,0.728202337652072,0.7155206984854543,0.7404257219576296
